Name,Cumulative through,Designer,Chip type,Series start date,End date,Logic wafers (5th percentile),Logic wafers (median),Logic wafers (95th percentile),Logic cost (USD) (5th percentile),Logic cost (USD) (median),Logic cost (USD) (95th percentile),CoWoS wafers (5th percentile),CoWoS wafers (median),CoWoS wafers (95th percentile),CoWoS cost (USD) (5th percentile),CoWoS cost (USD) (median),CoWoS cost (USD) (95th percentile),HBM cost (USD) (5th percentile),HBM cost (USD) (median),HBM cost (USD) (95th percentile),Auxiliary cost (USD) (5th percentile),Auxiliary cost (USD) (median),Auxiliary cost (USD) (95th percentile)
AMD MI300A cumulative through Q1 2024,Q1 2024,AMD,MI300A,2024-01-01,2024-03-31,77.50150274534954,127.9768771191448,181.5739528751339,1240024.0439255927,2239595.349585034,3449905.104627544,365.32810103839626,586.7965775604675,819.5234604069066,3653281.0103839627,7041558.930725611,11473328.445696691,10521836.9040397,16883333.283930294,23639012.22071491,658171.4312531126,1270046.9674006496,1924408.4676187553
AMD MI300A cumulative through Q2 2024,Q2 2024,AMD,MI300A,2024-01-01,2024-06-30,534.912209125439,641.6122561971517,749.9772032077561,8558595.346007023,11228214.483450156,14249566.860947367,2412.7296611346237,2901.2687028050977,3400.4259642710135,24127296.611346237,34815224.43366117,47605963.49979419,69083394.85346566,83570447.88805749,98471832.50937793,3282304.0653201723,5001216.708156668,6814239.411717794
AMD MI300A cumulative through Q3 2024,Q3 2024,AMD,MI300A,2024-01-01,2024-09-30,1202.0594489376858,1358.324470369728,1515.579540577058,19232951.183002975,23770678.231470242,28796011.2709641,5658.287477674666,6411.470783116756,7154.648644320284,56582874.77674666,76937649.39740108,100165081.02048397,161515561.03868032,184448009.8930598,207898692.65070832,17232853.24313115,20415334.732989468,23596212.415346123
AMD MI300A cumulative through Q4 2024,Q4 2024,AMD,MI300A,2024-01-01,2024-12-31,1405.3703563321146,1581.1469972187342,1758.459037438641,22485925.701313835,27670072.45132785,33410721.71133418,6989.61311447173,7861.605427679973,8746.11457979078,69896131.1447173,94339265.13215968,122445604.11707091,199407892.20284632,226458375.59674063,254168721.29136914,34518002.615168974,38812238.33174072,43147485.74627144
AMD MI300A cumulative through Q1 2025,Q1 2025,AMD,MI300A,2024-01-01,2025-03-31,1419.5226416946223,1596.4356709177819,1775.2270934437697,22712362.267113958,27937624.24106118,33729314.775431626,7088.702522636873,7974.091721692931,8863.718921956091,70887025.22636873,95689100.66031517,124092064.90738527,202371379.41035825,229694330.37956372,257429079.24325615,36097222.84271744,40483276.314734444,44874052.73014244
AMD MI300X cumulative through Q1 2024,Q1 2024,AMD,MI300X,2024-01-01,2024-03-31,1152.5534854888292,1342.9301048707912,1554.437992296239,18440855.767821267,23501276.835238844,29534321.85362854,5060.380495583163,5854.90647067513,6725.946558929505,50603804.95583163,70258877.64810155,94163251.82501307,173680340.28289914,202197329.07767838,234584833.7655835,12656063.469401818,15917907.755952433,19609709.956438653
AMD MI300X cumulative through Q2 2024,Q2 2024,AMD,MI300X,2024-01-01,2024-06-30,2776.2908952001985,3099.042948315927,3442.4943020604,44420654.323203176,54233251.59552872,65407391.7391476,12471.046469799428,13913.121674001177,15452.136670854086,124710464.69799429,166957460.08801413,216329913.39195722,426802644.05190474,480526322.54608846,539616055.5665455,46267162.2167205,52911048.08762659,60182918.95895855
AMD MI300X cumulative through Q3 2024,Q3 2024,AMD,MI300X,2024-01-01,2024-09-30,4775.168831818965,5215.646309554763,5670.622167971097,76402701.30910344,91273810.41720836,107741821.19145085,21619.647638463644,23602.390833521706,25663.261927312025,216196476.38463643,283228690.00226045,359285666.98236835,738391272.6228284,814960770.0031126,898289931.781939,86977114.87043627,96175736.39528632,106015627.99094605
AMD MI300X cumulative through Q4 2024,Q4 2024,AMD,MI300X,2024-01-01,2024-12-31,6442.3434099713695,6989.149771987852,7559.2725097392695,103077494.55954191,122310121.00978741,143626177.6850461,29642.130668895017,32146.019613796074,34750.00712788092,296421306.6889502,385752235.3655529,486500099.79033285,1011117579.6881379,1110307289.0288448,1216992520.006122,137158502.79758734,148824149.46128786,161160057.55982918
AMD MI300X cumulative through Q1 2025,Q1 2025,AMD,MI300X,2024-01-01,2025-03-31,7449.330819491876,8058.17563119716,8693.040099435575,119189293.11187002,141018073.5459503,165167761.88927594,34665.37555766077,37492.85688657049,40446.78473053753,346653755.5766077,449914282.63884586,566254986.2275255,1183027401.982167,1295620812.3079286,1416570268.9021556,173828411.01142466,188052694.3007517,202492944.11406094
AMD MI300X cumulative through Q2 2025,Q2 2025,AMD,MI300X,2024-01-01,2025-06-30,8288.619380684226,8949.968061491232,9624.698025705462,132617910.09094761,156624441.07609656,182869262.48840377,38601.11903404236,41656.20480221323,44796.20938315892,386011190.34042364,499874457.6265588,627146931.3642249,1317456092.5379193,1439700546.5783029,1568366310.2081575,194402228.8134475,209388142.18511084,225078953.747482
AMD MI300X cumulative through Q3 2025,Q3 2025,AMD,MI300X,2024-01-01,2025-09-30,8644.977388734213,9327.177473652135,10027.558222450049,138319638.2197474,163225605.78891236,190523606.22655094,40550.53353113643,43743.04405992434,46995.48391413992,405505335.31136435,524916528.7190921,657936774.7979589,1383399310.774181,1511016974.2005482,1646209287.4530594,214097643.73985845,230541859.95994312,247172229.10039037
AMD MI300X cumulative through Q4 2025,Q4 2025,AMD,MI300X,2024-01-01,2025-12-31,8809.719789334276,9500.487025625574,10199.952708388457,140955516.62934843,166258522.94844756,193799101.4593807,41366.44526268403,44582.47449289438,47849.90009449078,413664452.6268403,534989693.9147325,669898601.322871,1410915618.2842898,1540047406.3443868,1676292238.9801285,219500668.774077,235909394.6188471,252680647.99852693
AMD MI300X cumulative through Q1 2026,Q1 2026,AMD,MI300X,2024-01-01,2026-03-31,8842.217952664152,9537.04039732994,10240.61860415794,141475487.24262643,166898206.95327395,194571753.47900087,41576.36446947804,44824.86122854718,48120.258203987425,415763644.69478035,537898334.7425662,673683614.855824,1418385721.6423225,1548406264.6259394,1685724188.6869526,223005402.6656857,239622578.55427715,256508722.74809793
AMD MI308X cumulative through Q3 2024,Q3 2024,AMD,MI308X,2024-01-01,2024-09-30,260.265842490318,577.4072253203753,999.537331232374,4164253.479845088,10104626.44310657,18991209.293415107,1052.6307407386194,2335.2914446290733,4042.5732063176,10526307.407386193,28023497.33554888,56596024.8884464,36335780.38730763,80697531.50533392,139738216.99523178,0.0,0.0,0.0
AMD MI308X cumulative through Q4 2024,Q4 2024,AMD,MI308X,2024-01-01,2024-12-31,1281.5567299621066,1560.802408282968,1931.3497929332977,20504907.679393705,27314042.14495194,36695646.06573266,5402.053962957838,6779.1640441307445,8613.026466915971,54020539.62957838,81349968.52956894,120582370.5368236,185893362.65647805,234482333.38954765,298182950.2605065,8062254.177863511,17895495.871253237,31001698.701745905
AMD MI308X cumulative through Q1 2025,Q1 2025,AMD,MI308X,2024-01-01,2025-03-31,2621.7316818634954,2794.2175842766355,2973.0953157189683,41947706.90981593,48898807.724841125,56488810.9986604,11607.272532628605,12435.031911942257,13296.956914861357,116072725.32628605,149220382.94330707,186157396.808059,396112694.3802244,429532885.92595494,465205539.69528294,37205008.366866745,43028900.061581165,50601778.96123434
AMD MI308X cumulative through Q2 2025,Q2 2025,AMD,MI308X,2024-01-01,2025-06-30,2908.871151545898,3088.2035753505643,3271.9812103800737,46541938.42473437,54043562.568634875,62167642.9972214,13574.732040547524,14411.6166849693,15269.245648440341,135747320.40547523,172939400.2196316,213769439.0781648,462200811.0900445,497832226.7767618,536513904.024041,69615707.19547312,73665600.66776218,77847535.80802776
AMD MI325X cumulative through Q4 2024,Q4 2024,AMD,MI325X,2024-01-01,2024-12-31,355.76222998877967,500.8441487951524,678.2684914349772,5692195.679820474,8764772.603915168,12887101.337264568,1438.8605746212868,2025.6363351270606,2743.219232025908,14388605.746212868,24307636.021524727,38405069.24836271,68193866.1016269,97291847.08713838,133170432.16507897,0.0,0.0,0.0
AMD MI325X cumulative through Q1 2025,Q1 2025,AMD,MI325X,2024-01-01,2025-03-31,837.4345178083985,1072.8299742273175,1330.9264318771202,13398952.284934375,18774524.548978057,25287602.205665283,3694.9969975558047,4747.165197016668,5912.30690858592,36949969.97555805,56965982.36420001,82772296.72020288,175085605.53527027,227503747.30266017,289678058.84099793,13478679.696134442,18992873.14592631,25666680.346105948
AMD MI325X cumulative through Q2 2025,Q2 2025,AMD,MI325X,2024-01-01,2025-06-30,1306.5228955422144,1608.7637458108375,1933.8481288143494,20904366.32867543,28153365.551689655,36743114.44747264,5894.495582761645,7254.440370400871,8723.607515329957,58944955.82761645,87053284.44481045,122130505.2146194,278620927.7209961,347560689.7417775,428464864.6058198,27410177.80813326,34919027.4730217,43114018.404535644
AMD MI325X cumulative through Q3 2025,Q3 2025,AMD,MI325X,2024-01-01,2025-09-30,1751.5235437356607,2128.9370653541346,2541.442178487649,28024376.69977057,37256398.64369736,48287401.39126533,7966.723358852907,9682.830080316937,11570.943002877295,79667233.58852907,116193960.96380325,161993202.04028213,376525682.52565914,464724117.8511442,568201425.4061149,40999845.987001784,50448558.75485939,60656092.86549864
AMD MI325X cumulative through Q4 2025,Q4 2025,AMD,MI325X,2024-01-01,2025-12-31,2298.4562957665557,2792.851658017167,3367.8555434666123,36775300.73226489,48874904.01530042,63989255.325865634,10456.171304087935,12692.390683367998,15274.362776747292,104561713.04087935,152308688.20041597,213841078.8744621,500493179.4310625,619941568.899612,761924583.7130573,53935736.50429553,65521868.58355881,78422314.20029907
AMD MI325X cumulative through Q1 2026,Q1 2026,AMD,MI325X,2024-01-01,2026-03-31,2425.257279650992,2954.6207197786316,3584.1678302461364,38804116.474415876,51705862.59612605,68099188.77467659,11317.867305037962,13788.230025633613,16726.116541148636,113178673.05037962,165458760.30760336,234165631.57608092,559604468.7225788,697340295.1651337,864363270.0950246,70792072.11036047,86064894.10657525,104329249.54047136
AMD MI350X cumulative through Q1 2025,Q1 2025,AMD,MI350X,2024-01-01,2025-03-31,41.05271227201165,68.13428226402007,98.57683595788258,697896.108624198,1362685.6452804015,2168690.391073417,153.4345121166435,254.65187996177494,368.4309243925861,1534345.121166435,3055822.5595412995,5158032.9414962055,8248367.809754854,13763491.2342131,20142802.920639064,0.0,0.0,0.0
AMD MI350X cumulative through Q2 2025,Q2 2025,AMD,MI350X,2024-01-01,2025-06-30,679.2201919051797,816.8623350002988,974.3217172689957,11546743.262388054,16337246.700005976,21435077.779917907,2585.8004670227215,3104.368080987514,3697.581951912236,25858004.670227215,37252416.97185017,51766147.326771304,137015805.4684989,167595985.22831395,204097005.53428274,1521463.7811774926,2516484.1059407806,3635243.831108129
AMD MI350X cumulative through Q3 2025,Q3 2025,AMD,MI350X,2024-01-01,2025-09-30,1586.04695483248,1864.904090020928,2192.8896618496406,26962798.23215216,37298081.800418556,48243572.560692094,6439.895410694622,7564.668599579587,8892.278686472582,64398954.10694622,90776023.19495504,124491901.61061615,341276774.8189983,408192298.6202471,491030868.18180865,24443081.196125064,29467364.263333663,35152870.27561826
AMD MI350X cumulative through Q4 2025,Q4 2025,AMD,MI350X,2024-01-01,2025-12-31,2365.2673837837165,2808.5040304727763,3359.8612224626963,40209545.52432318,56170080.609455526,73916946.89417931,9885.3817737164,11707.322500862814,13979.328300004872,98853817.737164,140487870.01035377,195710596.2000682,534377734.3997615,647465153.7315125,788070267.7556615,50987428.157531455,60140383.43886188,70983225.59274511
AMD MI350X cumulative through Q1 2026,Q1 2026,AMD,MI350X,2024-01-01,2026-03-31,2531.803072325971,3019.5955707577787,3626.6288529184867,43040652.2295415,60391911.415155575,79785834.76420671,10918.400749405746,13022.005898892916,15639.836928210974,109184007.49405746,156264070.786715,218957716.99495363,609868683.082118,751029541.5751936,926642241.5415154,72014077.6205324,85925620.54423401,103113420.55850664
AMD MI355X cumulative through Q2 2025,Q2 2025,AMD,MI355X,2024-01-01,2025-06-30,282.3863129682996,408.3355539960854,579.7016488242267,4800567.320461093,8166711.079921708,12753436.274132987,1055.4188447190193,1526.1541330603688,2166.6349124805474,10554188.447190193,18313849.596724425,30332888.774727665,56583023.82282178,82398744.2558814,118689011.40156195,0.0,0.0,0.0
AMD MI355X cumulative through Q3 2025,Q3 2025,AMD,MI355X,2024-01-01,2025-09-30,1205.2879640496312,1551.2451816612615,1967.7929188811613,20489895.38884373,31024903.633225232,43291444.21538555,4732.236467585321,6102.66958345103,7775.5195407112205,47322364.675853215,73232035.00141236,108857273.56995709,253208925.56999952,328560607.3164656,428347860.362896,13943153.645927414,20142426.35410982,28575630.91007112
AMD MI355X cumulative through Q4 2025,Q4 2025,AMD,MI355X,2024-01-01,2025-12-31,2552.679519398636,3205.025555933109,3970.291372322792,43395551.82977681,64100511.11866218,87346410.19110143,10380.349101670006,13060.931767768929,16169.092446662042,103803491.01670006,156731181.21322715,226367294.2532686,568574760.7542685,724663189.8235359,921815439.2441853,54825585.173482455,70453132.18826872,89039036.92193303
