Name,Cumulative through,Designer,Series start date,End date,Logic wafers (5th percentile),Logic wafers (median),Logic wafers (95th percentile),Logic cost (USD) (5th percentile),Logic cost (USD) (median),Logic cost (USD) (95th percentile),CoWoS wafers (5th percentile),CoWoS wafers (median),CoWoS wafers (95th percentile),CoWoS cost (USD) (5th percentile),CoWoS cost (USD) (median),CoWoS cost (USD) (95th percentile),HBM cost (USD) (5th percentile),HBM cost (USD) (median),HBM cost (USD) (95th percentile),Auxiliary cost (USD) (5th percentile),Auxiliary cost (USD) (median),Auxiliary cost (USD) (95th percentile)
NVIDIA cumulative through Q1 2024,Q1 2024,NVIDIA,2024-01-01,2024-03-31,17488.28194863141,18922.977953787948,20454.0283203096,271443814.3525859,330746605.28612995,399703606.89406383,27795.913070117138,29909.807236640365,32164.880420059355,270580982.517721,358689631.51544344,461904587.23524076,1022280199.990036,1123336716.2968764,1244577570.3391902,265292811.44073424,292668456.0449016,320982874.96500605
NVIDIA cumulative through Q2 2024,Q2 2024,NVIDIA,2024-01-01,2024-06-30,39630.10617054985,42189.17515103394,44879.3788496557,619386905.2350234,738095837.867927,871178474.1193492,62880.442821745215,66835.03872008307,70939.73033623355,614869926.8736179,801547892.9254062,1014124939.3431208,2429765472.685103,2644605763.2050695,2905565391.115211,619141289.356004,662386786.9241836,706611348.8360375
NVIDIA cumulative through Q3 2024,Q3 2024,NVIDIA,2024-01-01,2024-09-30,70658.98699045583,74160.53589498243,77808.85127743236,1098484326.7773755,1297525133.316824,1518794953.0214028,108673.68552662754,114134.20446937202,119768.27315724072,1084598122.2115352,1416524902.1950192,1782229234.261183,4492961002.644396,4852782379.705335,5307079751.847642,1053853206.9263728,1113609267.6625934,1174882836.1849341
NVIDIA cumulative through Q4 2024,Q4 2024,NVIDIA,2024-01-01,2024-12-31,121200.85741943568,126078.03756918722,131197.41774910674,1881745197.7305412,2206232847.848495,2562142793.9498434,180244.24864876058,187387.7889827145,194968.01259201506,1859203110.4711652,2442365445.913093,3052263043.533821,7811364507.574402,8386278310.728777,9119844972.044985,1611098552.9309785,1683155463.6722603,1757481016.8530593
NVIDIA cumulative through Q1 2025,Q1 2025,NVIDIA,2024-01-01,2025-03-31,178990.28662480487,185053.676942576,191263.1264455456,2780001498.242406,3237157419.2560425,3738200559.834321,260473.77600156813,269107.5634568363,277942.6402666562,2762853424.9021754,3642922178.055155,4533840878.006034,11831288297.302446,12651124677.055115,13753389147.150072,2453325193.2911053,2543227533.830243,2635730629.740987
NVIDIA cumulative through Q2 2025,Q2 2025,NVIDIA,2024-01-01,2025-06-30,238735.3509057136,246075.69053896805,253677.33291457169,3711658700.8415613,4305063935.720083,4952244111.336653,337964.59823852987,347885.37644198665,358078.72182206996,3689417404.7089086,4896802158.734383,6080280110.103237,16281182669.899597,17436793109.241875,19045659524.67291,3202808802.510654,3302355138.023223,3404775790.6810374
NVIDIA cumulative through Q3 2025,Q3 2025,NVIDIA,2024-01-01,2025-09-30,319830.5360490042,328968.25313055486,337844.4870099524,4979886677.619858,5754418514.68088,6590518169.325819,436461.0101091775,448345.86575567635,460015.541602239,4918089076.1175995,6561179076.758657,8115828829.66542,22580521287.043068,24209780083.64083,26506405470.54793,4115069519.5918074,4224703579.557968,4335965451.168156
NVIDIA cumulative through Q4 2025,Q4 2025,NVIDIA,2024-01-01,2025-12-31,419882.45437025453,432928.41052051284,446445.29761856125,6508657143.299268,7573004500.803612,8740574873.917364,550705.7924314626,564762.5667409643,578592.4980807762,6333156110.041946,8530894106.514032,10574778395.99761,30515701375.453693,32764022613.16067,35954601753.17727,5167114070.661909,5292013693.372592,5416022128.564061
AMD cumulative through Q1 2024,Q1 2024,AMD,2024-01-01,2024-03-31,1273.943049743474,1472.954243890654,1691.8084167252887,19680879.811746858,25740872.184823878,32984226.95825608,5619.699109078116,6445.834831613462,7351.975853155531,54257085.966215596,77300436.57882716,105636580.27070977,189500741.08631355,219267296.5602399,252413871.040947,13863217.629023448,17214532.186499916,20902670.902153462
AMD cumulative through Q2 2024,Q2 2024,AMD,2024-01-01,2024-06-30,3397.1356767011234,3742.2751633333764,4099.705005723053,52979249.669210196,65461466.07897888,79656958.60009497,15293.72780224051,16821.138350162637,18429.01229862951,148837761.30934054,201772684.5216753,263935876.8917514,506854760.1248212,564773430.4953353,625848983.51113,51114531.51418159,57987054.98940855,65399885.28006052
